#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
33,Canada,"4,336,860",,"46,389 ",,"4,227,699","+3,197","62,772",99,"112,973","1,208","65,722,182","1,712,031","38,388,419 ",North America,98281,,,"1,635",
34,Switzerland,"4,211,438",,"14,255 ",,"4,108,360","+5,831","88,823",73,"480,011","1,625","22,653,313","2,581,975","8,773,637 ",Europe,26150,,,"10,124",
35,Czechia,"4,161,566",,"41,648 ",,"4,114,445",,"5,473",36,"387,599","3,879","56,498,201","5,262,116","10,736,784 ",Europe,32580,,,510,
36,Peru,"4,159,951",,"217,062 ",,"3,935,437",,"7,452",44,"123,499","6,444","35,807,703","1,063,041","33,684,208 ",South America,81551,,,221,
37,South Africa,"4,029,737",,"102,363 ",,"3,912,506",,"14,868",192,"66,326","1,685","26,174,429","430,811","60,756,135 ",Africa,155942,,,245,
38,Philippines,"4,008,550",,"64,240 ",,"3,927,187",,"17,123",353,"35,629",571,"33,323,944","296,189","112,508,994 ",Asia,"281,7513",,,152,
39,Romania,"3,288,755",,"67,211 ",,"3,215,540",,"6,004",88,"172,807","3,532","25,524,130","1,341,163","19,031,335 ",Europe,62831,,,315,
40,Denmark,"3,138,750",,"7,387 ",,"3,123,762",,"7,601",1,"537,922","1,266","128,667,520","22,051,178","5,834,950 ",Europe,27900,,,"1,303",
41,Sweden,"2,614,997",,"20,721 ",,"2,581,090",+664,"13,186",17,"255,896","2,028","19,071,994","1,866,332","10,218,971 ",Europe,44931,,,"1,290",
42,Iraq,"2,461,484",,"25,358 ",,"2,435,765",,361,21,"58,377",601,"19,377,732","459,570","42,164,965 ",Asia,"171,6632",,,9,
43,Serbia,"2,408,130",,"17,275 ",,"2,374,152",,"16,703",21,"278,299","1,996","11,418,073","1,319,548","8,653,016 ",Europe,45011,,,"1,930",
44,Hungary,"2,141,513",,"47,938 ",,"2,061,999",,"31,576",25,"222,929","4,990","11,394,556","1,186,160","9,606,259 ",Europe,42001,,,"3,287",
45,Singapore,"2,121,435",,"1,686 ",,"2,039,473",,"80,276",16,"356,931",284,"24,622,510","4,142,731","5,943,546 ",Asia,"33,5250",,,"13,506",
46,Bangladesh,"2,035,782",,"29,425 ",,"1,982,312",,"24,045","1,331","12,126",175,"15,014,214","89,431","167,885,689 ",Asia,"825,70611",,,143,
47,Hong Kong,"1,942,707",,"10,457 ",,"1,754,947",,"177,303",9,"255,475","1,375","66,284,763","8,716,749","7,604,299 ",Asia,47270,,,"23,316",
48,Slovakia,"1,853,466",,"20,629 ",,"1,830,531",,"2,306",32,"339,451","3,778","7,337,091","1,343,742","5,460,193 ",Europe,32651,,,422,
49,New Zealand,"1,851,689",,"3,103 ",,"1,829,106",,"19,480",,"378,034",633,"7,544,063","1,540,170","4,898,203 ",Australia/Oceania,"31,5791",,,"3,977",
50,Georgia,"1,785,138",,"16,912 ",,"1,637,293",,"130,933",,"449,800","4,261","16,920,079","4,263,340","3,968,738 ",Asia,22350,,,"32,991",
51,Jordan,"1,746,997",,"14,122 ",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869 ",Asia,67291,,,181,
52,Ireland,"1,673,681",,"8,028 ",,"1,658,968",+349,"6,685",17,"333,389","1,599","12,789,806","2,547,669","5,020,199 ",Europe,36250,,,"1,332",
53,Pakistan,"1,574,321",,"30,627 ",,"1,538,689",,"5,005",58,"6,860",133,"30,570,862","133,213","229,488,994 ",Asia,"1467,4938",,,22,
54,Norway,"1,465,584",,"4,238 ",,"1,459,601",,"1,745",20,"265,920",769,"11,002,430","1,996,315","5,511,370 ",Europe,"41,3001",,,317,
55,Kazakhstan,"1,394,935",,"13,692 ",,"1,380,356",,887,24,"72,634",713,"11,575,012","602,707","19,205,043 ",Asia,"141,4032",,,46,
